college02,num_weight,experience02,parentrelations,height_total_inches,y_arrestedafter2002,nshot_summary_text
"not enrolled, no high school degree, no GED",155,3,"biological mother, other parent present",71,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 155, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 71"
"not enrolled, high school degree",153,0,Unknown,64,False,"current education status is not enrolled, high school degree, and weight in pounds is 153, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 64"
"not enrolled, no high school degree, no GED",161,0,"biological mother, other parent present",80,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 161, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 80"
"not enrolled, no high school degree, no GED",120,1,"biological mother, marital status unknown",67,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 120, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 67"
"not enrolled, high school degree",142,2,"biological mother, marital status unknown",67,True,"current education status is not enrolled, high school degree, and weight in pounds is 142, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 67"
"not enrolled, GED",178,0,"other adults, biological parent status unknown, not group quarters",72,False,"current education status is not enrolled, GED, and weight in pounds is 178, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 72"
enrolled in a 4-year college,189,2,"biological mother, marital status unknown",72,False,"current education status is enrolled in a 4-year college, and weight in pounds is 189, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 72"
"not enrolled, GED",12,4,"biological mother, marital status unknown",67,False,"current education status is not enrolled, GED, and weight in pounds is 12, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 67"
"not enrolled, no high school degree, no GED",210,0,"biological mother, marital status unknown",76,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 210, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 76"
"not enrolled, no high school degree, no GED",250,3,"biological mother, marital status unknown",68,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 250, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68"
"not enrolled, no high school degree, no GED",177,0,"biological mother, marital status unknown",93,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 177, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 93"
"not enrolled, no high school degree, no GED",184,0,"biological mother, marital status unknown",70,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 184, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 70"
"not enrolled, no high school degree, no GED",187,2,both biological parents,66,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 187, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 66"
"not enrolled, high school degree",152,1,"biological mother, marital status unknown",69,True,"current education status is not enrolled, high school degree, and weight in pounds is 152, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 69"
"not enrolled, GED",127,0,"biological mother, marital status unknown",64,False,"current education status is not enrolled, GED, and weight in pounds is 127, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
"not enrolled, no high school degree, no GED",140,3,"biological mother, marital status unknown",67,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 140, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 67"
"not enrolled, no high school degree, no GED",185,2,"biological mother, marital status unknown",70,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 185, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 70"
"not enrolled, 4-year college graduate",186,2,"biological mother, marital status unknown",68,False,"current education status is not enrolled, 4-year college graduate, and weight in pounds is 186, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68"
"not enrolled, some college",160,1,Unknown,76,False,"current education status is not enrolled, some college, and weight in pounds is 160, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 76"
"not enrolled, no high school degree, no GED",182,0,"biological mother, marital status unknown",71,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 182, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
"not enrolled, high school degree",162,1,Unknown,69,False,"current education status is not enrolled, high school degree, and weight in pounds is 162, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 69"
"not enrolled, no high school degree, no GED",140,1,"other adults, biological parent status unknown, not group quarters",65,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 140, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 65"
"not enrolled, no high school degree, no GED",162,1,both biological parents,65,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 162, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 65"
"not enrolled, no high school degree, no GED",162,3,"biological mother, marital status unknown",66,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 162, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
enrolled in a 2-year college,168,3,"biological mother, marital status unknown",68,False,"current education status is enrolled in a 2-year college, and weight in pounds is 168, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68"
"not enrolled, no high school degree, no GED",165,1,"biological mother, marital status unknown",73,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 165, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
"not enrolled, GED",240,1,"biological mother, marital status unknown",68,False,"current education status is not enrolled, GED, and weight in pounds is 240, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68"
"not enrolled, high school degree",160,0,"biological mother, marital status unknown",66,False,"current education status is not enrolled, high school degree, and weight in pounds is 160, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
"enrolled in grades 1-12, not a high school graduate",12,1,both biological parents,69,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 12, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69"
"not enrolled, no high school degree, no GED",155,2,"biological mother, marital status unknown",74,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 155, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74"
"not enrolled, no high school degree, no GED",145,2,"biological mother, marital status unknown",72,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 145, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 72"
"not enrolled, GED",235,2,"biological mother, marital status unknown",72,True,"current education status is not enrolled, GED, and weight in pounds is 235, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 72"
"not enrolled, no high school degree, no GED",185,1,"biological mother, marital status unknown",74,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 185, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74"
enrolled in a 2-year college,170,1,Unknown,67,False,"current education status is enrolled in a 2-year college, and weight in pounds is 170, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 67"
"not enrolled, no high school degree, no GED",190,0,"biological mother, marital status unknown",69,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 190, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 69"
enrolled in a 2-year college,190,1,"biological mother, marital status unknown",66,False,"current education status is enrolled in a 2-year college, and weight in pounds is 190, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
"not enrolled, no high school degree, no GED",140,0,"other adults, biological parent status unknown, not group quarters",73,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 140, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 73"
"not enrolled, high school degree",145,4,"biological mother, marital status unknown",65,False,"current education status is not enrolled, high school degree, and weight in pounds is 145, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 65"
"not enrolled, high school degree",56,1,"biological mother, marital status unknown",72,False,"current education status is not enrolled, high school degree, and weight in pounds is 56, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 72"
"not enrolled, no high school degree, no GED",120,4,"biological mother, marital status unknown",61,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 120, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 61"
"not enrolled, some college",187,1,"biological mother, marital status unknown",73,False,"current education status is not enrolled, some college, and weight in pounds is 187, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
"not enrolled, high school degree",137,0,"biological mother, marital status unknown",60,False,"current education status is not enrolled, high school degree, and weight in pounds is 137, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 60"
"enrolled in grades 1-12, not a high school graduate",195,1,"biological mother, marital status unknown",78,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 195, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 78"
"not enrolled, no high school degree, no GED",162,1,"biological mother, marital status unknown",71,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 162, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
"not enrolled, no high school degree, no GED",134,1,"other adults, biological parent status unknown, not group quarters",68,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 134, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 68"
"not enrolled, no high school degree, no GED",219,0,both biological parents,63,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 219, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 63"
"enrolled in grades 1-12, not a high school graduate",155,0,both biological parents,70,True,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 155, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 70"
"not enrolled, GED",170,0,both biological parents,63,False,"current education status is not enrolled, GED, and weight in pounds is 170, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 63"
"not enrolled, no high school degree, no GED",240,0,"biological mother, marital status unknown",64,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 240, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
"not enrolled, high school degree",232,0,both biological parents,62,True,"current education status is not enrolled, high school degree, and weight in pounds is 232, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 62"
"not enrolled, no high school degree, no GED",120,0,Unknown,62,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 120, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 62"
"not enrolled, no high school degree, no GED",145,3,Unknown,65,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 145, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 65"
"not enrolled, high school degree",145,0,"biological mother, marital status unknown",71,True,"current education status is not enrolled, high school degree, and weight in pounds is 145, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
"not enrolled, some college",205,0,both biological parents,69,False,"current education status is not enrolled, some college, and weight in pounds is 205, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 69"
"not enrolled, high school degree",230,1,both biological parents,74,False,"current education status is not enrolled, high school degree, and weight in pounds is 230, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 74"
"not enrolled, no high school degree, no GED",190,1,"biological mother, marital status unknown",66,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 190, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
"not enrolled, no high school degree, no GED",135,2,"biological mother, marital status unknown",67,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 135, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 67"
"not enrolled, high school degree",170,2,"biological mother, marital status unknown",70,True,"current education status is not enrolled, high school degree, and weight in pounds is 170, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 70"
enrolled in a 4-year college,210,1,"biological mother, marital status unknown",75,False,"current education status is enrolled in a 4-year college, and weight in pounds is 210, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 75"
"not enrolled, GED",285,1,Unknown,69,False,"current education status is not enrolled, GED, and weight in pounds is 285, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 69"
"not enrolled, no high school degree, no GED",182,0,"biological mother, marital status unknown",73,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 182, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
"not enrolled, high school degree",149,1,"biological mother, marital status unknown",67,False,"current education status is not enrolled, high school degree, and weight in pounds is 149, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 67"
"not enrolled, no high school degree, no GED",148,0,"biological mother, marital status unknown",68,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 148, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68"
enrolled in a 2-year college,154,0,"other adults, biological parent status unknown, not group quarters",63,False,"current education status is enrolled in a 2-year college, and weight in pounds is 154, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 63"
"not enrolled, no high school degree, no GED",162,0,"biological mother, marital status unknown",69,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 162, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 69"
"not enrolled, no high school degree, no GED",140,1,"biological mother, marital status unknown",64,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 140, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
"not enrolled, high school degree",148,2,"biological mother, marital status unknown",67,False,"current education status is not enrolled, high school degree, and weight in pounds is 148, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 67"
"not enrolled, no high school degree, no GED",160,2,"biological mother, marital status unknown",66,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 160, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
"not enrolled, no high school degree, no GED",195,0,"other adults, biological parent status unknown, not group quarters",72,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 195, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 72"
"not enrolled, high school degree",248,1,"other adults, biological parent status unknown, not group quarters",65,False,"current education status is not enrolled, high school degree, and weight in pounds is 248, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 65"
"not enrolled, no high school degree, no GED",180,2,"biological mother, other parent present",73,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 180, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 73"
"not enrolled, no high school degree, no GED",198,1,"biological mother, marital status unknown",67,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 198, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 67"
"not enrolled, some college",191,1,"biological mother, marital status unknown",74,False,"current education status is not enrolled, some college, and weight in pounds is 191, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74"
"not enrolled, no high school degree, no GED",180,2,"other adults, biological parent status unknown, not group quarters",74,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 180, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 74"
"not enrolled, no high school degree, no GED",145,2,"biological mother, other parent present",80,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 145, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 80"
"not enrolled, high school degree",345,1,"biological mother, marital status unknown",74,False,"current education status is not enrolled, high school degree, and weight in pounds is 345, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 74"
"not enrolled, no high school degree, no GED",185,0,"other adults, biological parent status unknown, not group quarters",69,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 185, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 69"
"not enrolled, GED",130,0,"biological mother, marital status unknown",64,False,"current education status is not enrolled, GED, and weight in pounds is 130, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
"not enrolled, GED",110,0,"biological mother, marital status unknown",66,False,"current education status is not enrolled, GED, and weight in pounds is 110, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
"enrolled in grades 1-12, not a high school graduate",167,0,"biological mother, marital status unknown",71,True,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 167, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
"not enrolled, no high school degree, no GED",132,0,"biological mother, marital status unknown",64,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 132, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 64"
"not enrolled, no high school degree, no GED",142,0,"biological mother, marital status unknown",67,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 142, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 67"
"not enrolled, no high school degree, no GED",170,3,"biological mother, marital status unknown",73,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 170, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
"enrolled in grades 1-12, not a high school graduate",140,1,Unknown,75,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 140, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 75"
"not enrolled, high school degree",168,2,"biological dad, marital status unknown",71,False,"current education status is not enrolled, high school degree, and weight in pounds is 168, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 71"
"not enrolled, some college",210,0,"biological dad, marital status unknown",70,True,"current education status is not enrolled, some college, and weight in pounds is 210, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 70"
"not enrolled, high school degree",237,2,"biological mother, marital status unknown",71,False,"current education status is not enrolled, high school degree, and weight in pounds is 237, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
"not enrolled, GED",162,3,"biological father, other parent present",57,False,"current education status is not enrolled, GED, and weight in pounds is 162, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological father, other parent present, and height in inches is 57"
"not enrolled, no high school degree, no GED",137,1,both biological parents,62,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 137, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 62"
"not enrolled, no high school degree, no GED",160,5,"other adults, biological parent status unknown, not group quarters",71,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 160, and number of jobs held in past year is 5, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 71"
"not enrolled, no high school degree, no GED",165,0,"biological mother, marital status unknown",70,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 165, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 70"
"not enrolled, no high school degree, no GED",162,2,"biological mother, marital status unknown",69,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 162, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 69"
"not enrolled, no high school degree, no GED",240,0,"biological mother, marital status unknown",73,True,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 240, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 73"
"not enrolled, no high school degree, no GED",220,2,Unknown,75,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 220, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is Unknown, and height in inches is 75"
"not enrolled, high school degree",160,2,both biological parents,66,False,"current education status is not enrolled, high school degree, and weight in pounds is 160, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 66"
"not enrolled, some college",160,4,"other adults, biological parent status unknown, not group quarters",64,False,"current education status is not enrolled, some college, and weight in pounds is 160, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 64"
enrolled in a 4-year college,202,4,adoptive parent(s),70,False,"current education status is enrolled in a 4-year college, and weight in pounds is 202, and number of jobs held in past year is 4, and relationship at age 12 with parent figure(s) or guardian(s) is adoptive parent(s), and height in inches is 70"
"not enrolled, no high school degree, no GED",160,1,"biological mother, marital status unknown",68,False,"current education status is not enrolled, no high school degree, no GED, and weight in pounds is 160, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68"
"not enrolled, some college",110,5,both biological parents,63,False,"current education status is not enrolled, some college, and weight in pounds is 110, and number of jobs held in past year is 5, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 63"
enrolled in a 4-year college,145,2,both biological parents,65,True,"current education status is enrolled in a 4-year college, and weight in pounds is 145, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 65"
"not enrolled, high school degree",170,1,both biological parents,71,True,"current education status is not enrolled, high school degree, and weight in pounds is 170, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is both biological parents, and height in inches is 71"
enrolled in a 4-year college,250,2,"biological mother, marital status unknown",68,False,"current education status is enrolled in a 4-year college, and weight in pounds is 250, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 68"
"not enrolled, GED",218,2,"biological mother, marital status unknown",71,False,"current education status is not enrolled, GED, and weight in pounds is 218, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
"not enrolled, high school degree",160,3,"biological mother, marital status unknown",71,False,"current education status is not enrolled, high school degree, and weight in pounds is 160, and number of jobs held in past year is 3, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 71"
"not enrolled, GED",180,0,"other adults, biological parent status unknown, not group quarters",67,False,"current education status is not enrolled, GED, and weight in pounds is 180, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 67"
"not enrolled, GED",162,0,"biological mother, marital status unknown",66,True,"current education status is not enrolled, GED, and weight in pounds is 162, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
"not enrolled, GED",140,0,"other adults, biological parent status unknown, not group quarters",73,False,"current education status is not enrolled, GED, and weight in pounds is 140, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is other adults, biological parent status unknown, not group quarters, and height in inches is 73"
"not enrolled, high school degree",120,2,"biological dad, marital status unknown",66,True,"current education status is not enrolled, high school degree, and weight in pounds is 120, and number of jobs held in past year is 2, and relationship at age 12 with parent figure(s) or guardian(s) is biological dad, marital status unknown, and height in inches is 66"
"enrolled in grades 1-12, not a high school graduate",215,0,"biological mother, marital status unknown",66,False,"current education status is enrolled in grades 1-12, not a high school graduate, and weight in pounds is 215, and number of jobs held in past year is 0, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 66"
"not enrolled, high school degree",127,1,"biological mother, marital status unknown",63,False,"current education status is not enrolled, high school degree, and weight in pounds is 127, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 63"
"not enrolled, GED",190,1,"biological mother, other parent present",71,False,"current education status is not enrolled, GED, and weight in pounds is 190, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, other parent present, and height in inches is 71"
"not enrolled, high school degree",120,1,"biological mother, marital status unknown",65,False,"current education status is not enrolled, high school degree, and weight in pounds is 120, and number of jobs held in past year is 1, and relationship at age 12 with parent figure(s) or guardian(s) is biological mother, marital status unknown, and height in inches is 65"
